***End_of_Header***
Time	Voltage
22.503000	-2.457366e-09
22.504000	-2.457366e-09
22.505000	-8.469809e-10
22.506000	-1.491135e-09
22.507000	-8.469809e-10
22.508000	-2.135289e-09
22.509000	-2.779444e-09
22.510000	-4.711906e-09
22.511000	-3.423598e-09
22.512000	-1.050929e-08
22.513000	-4.711906e-09
22.514000	-3.745675e-09
22.515000	-3.745675e-09
22.516000	-3.101521e-09
22.517000	-5.35606e-09
22.518000	-5.033983e-09
22.519000	-4.711906e-09
22.520000	-1.813212e-09
22.521000	-1.813212e-09
22.522000	1.192504e-10
22.523000	-5.249038e-10
22.524000	-3.101521e-09
22.525000	-2.135289e-09
22.526000	-3.745675e-09
22.527000	-2.457366e-09
22.528000	-7.6106e-09
22.529000	-1.491135e-09
22.530000	-1.491135e-09
22.531000	-2.457366e-09
22.532000	-2.779444e-09
22.533000	-3.101521e-09
22.534000	-3.423598e-09
22.535000	-5.033983e-09
22.536000	-4.389829e-09
22.537000	-6.644369e-09
22.538000	-3.745675e-09
22.539000	-4.711906e-09
22.540000	-5.249038e-10
22.541000	-5.249038e-10
22.542000	-2.028267e-10
22.543000	-8.469809e-10
22.544000	-1.813212e-09
22.545000	-2.457366e-09
22.546000	-3.101521e-09
22.547000	4.413275e-10
22.548000	-1.491135e-09
22.549000	-1.813212e-09
22.550000	-5.249038e-10
22.551000	-2.779444e-09
22.552000	-4.389829e-09
22.553000	2.24607e-07
22.554000	1.946538e-07
22.555000	1.360358e-07
22.556000	1.131683e-07
22.557000	9.448784e-08
22.558000	7.935022e-08
22.559000	6.96879e-08
22.560000	5.648274e-08
22.561000	4.359966e-08
22.562000	3.909058e-08
22.563000	3.780227e-08
22.564000	4.005681e-08
22.565000	4.037889e-08
22.566000	3.941266e-08
22.567000	4.231135e-08
22.568000	4.456589e-08
22.569000	4.424381e-08
22.570000	8.031645e-08
22.571000	7.902814e-08
22.572000	7.033206e-08
22.573000	6.711129e-08
22.574000	6.260221e-08
22.575000	6.002559e-08
22.576000	6.421259e-08
22.577000	6.807752e-08
22.578000	6.904375e-08
22.579000	6.743336e-08
22.580000	6.55009e-08
22.581000	6.195805e-08
22.582000	5.680482e-08
22.583000	5.132951e-08
22.584000	4.424381e-08
22.585000	3.844643e-08
22.586000	3.425942e-08
22.587000	3.329319e-08
22.588000	3.03945e-08
22.589000	2.910619e-08
22.590000	2.942827e-08
22.591000	2.62075e-08
22.592000	2.137634e-08
22.593000	2.041011e-08
22.594000	1.525687e-08
22.595000	1.686726e-08
22.596000	1.654518e-08
22.597000	1.396857e-08
22.598000	1.042572e-08
22.599000	6.88287e-09
22.600000	7.204947e-09
22.601000	6.560792e-09
22.602000	9.137409e-09
22.603000	8.815332e-09
22.604000	1.042572e-08
22.605000	9.459486e-09
22.606000	6.238715e-09
22.607000	5.916638e-09
22.608000	5.272484e-09
22.609000	4.62833e-09
22.610000	5.272484e-09
22.611000	3.984176e-09
22.612000	2.695867e-09
22.613000	2.695867e-09
22.614000	-5.249038e-10
22.615000	4.413275e-10
22.616000	-2.779444e-09
22.617000	-5.678137e-09
22.618000	-1.491135e-09
22.619000	-8.469809e-10
22.620000	-1.813212e-09
22.621000	-2.779444e-09
22.622000	-2.457366e-09
22.623000	-1.491135e-09
22.624000	-2.779444e-09
22.625000	-2.135289e-09
22.626000	-8.469809e-10
22.627000	-1.169058e-09
22.628000	-3.745675e-09
22.629000	-6.966446e-09
22.630000	-5.033983e-09
22.631000	-4.711906e-09
22.632000	-5.35606e-09
22.633000	-3.423598e-09
22.634000	-3.423598e-09
22.635000	-2.779444e-09
22.636000	-2.779444e-09
22.637000	-3.423598e-09
22.638000	-4.389829e-09
22.639000	-5.033983e-09
22.640000	-5.678137e-09
22.641000	-6.000215e-09
22.642000	-4.389829e-09
22.643000	-3.423598e-09
22.644000	-2.457366e-09
22.645000	-2.779444e-09
22.646000	-2.457366e-09
22.647000	-3.101521e-09
22.648000	-2.457366e-09
22.649000	-5.033983e-09
22.650000	-6.966446e-09
22.651000	-5.35606e-09
22.652000	-6.322292e-09
22.653000	-4.711906e-09
22.654000	-4.389829e-09
22.655000	-2.135289e-09
22.656000	-3.423598e-09
22.657000	-6.322292e-09
22.658000	-5.033983e-09
22.659000	-2.779444e-09
22.660000	-1.813212e-09
22.661000	-2.457366e-09
22.662000	-2.028267e-10
22.663000	-5.249038e-10
22.664000	-2.135289e-09
22.665000	-3.745675e-09
22.666000	-4.067752e-09
22.667000	1.192504e-10
22.668000	-2.028267e-10
22.669000	-2.028267e-10
22.670000	1.192504e-10
22.671000	-1.491135e-09
22.672000	-2.779444e-09
22.673000	-2.135289e-09
22.674000	-3.423598e-09
22.675000	-3.101521e-09
22.676000	-2.457366e-09
22.677000	-2.457366e-09
22.678000	-1.491135e-09
22.679000	-5.678137e-09
22.680000	-3.745675e-09
22.681000	-4.711906e-09
22.682000	-4.389829e-09
22.683000	-3.745675e-09
22.684000	-2.779444e-09
22.685000	-3.101521e-09
22.686000	-1.813212e-09
22.687000	-5.249038e-10
22.688000	-4.389829e-09
22.689000	-4.067752e-09
22.690000	-5.033983e-09
22.691000	-4.711906e-09
22.692000	-9.543063e-09
22.693000	-4.711906e-09
22.694000	-4.067752e-09
22.695000	-2.135289e-09
22.696000	-1.491135e-09
22.697000	-3.423598e-09
22.698000	-5.033983e-09
22.699000	-6.966446e-09
22.700000	-5.35606e-09
22.701000	-4.711906e-09
22.702000	-4.389829e-09
22.703000	-5.033983e-09
22.704000	-1.491135e-09
22.705000	-4.067752e-09
22.706000	-1.813212e-09
22.707000	-2.779444e-09
22.708000	-6.966446e-09
22.709000	-6.322292e-09
22.710000	-6.644369e-09
22.711000	-5.678137e-09
