***End_of_Header***
Time	Voltage
5.790000	-5.033983e-09
5.791000	-1.813212e-09
5.792000	-1.169058e-09
5.793000	-3.423598e-09
5.794000	-1.813212e-09
5.795000	1.085482e-09
5.796000	-2.135289e-09
5.797000	-2.457366e-09
5.798000	-5.678137e-09
5.799000	-2.028267e-10
5.800000	1.085482e-09
5.801000	-2.135289e-09
5.802000	-1.491135e-09
5.803000	-4.067752e-09
5.804000	-3.745675e-09
5.805000	-3.745675e-09
5.806000	-2.457366e-09
5.807000	-3.101521e-09
5.808000	-3.745675e-09
5.809000	-4.389829e-09
5.810000	-6.322292e-09
5.811000	-7.932677e-09
5.812000	-6.322292e-09
5.813000	-2.779444e-09
5.814000	-3.101521e-09
5.815000	-2.779444e-09
5.816000	-3.423598e-09
5.817000	-1.491135e-09
5.818000	-4.711906e-09
5.819000	-4.711906e-09
5.820000	-2.135289e-09
5.821000	7.634046e-10
5.822000	-8.469809e-10
5.823000	-3.423598e-09
5.824000	7.634046e-10
5.825000	-8.469809e-10
5.826000	-4.389829e-09
5.827000	-6.644369e-09
5.828000	-2.457366e-09
5.829000	-1.169058e-09
5.830000	-2.457366e-09
5.831000	-2.779444e-09
5.832000	-3.101521e-09
5.833000	-5.678137e-09
5.834000	-4.711906e-09
5.835000	-1.169058e-09
5.836000	-5.249038e-10
5.837000	-1.169058e-09
5.838000	-2.457366e-09
5.839000	1.085482e-09
5.840000	6.711129e-08
5.841000	2.803263e-07
5.842000	1.940097e-07
5.843000	1.431215e-07
5.844000	1.20254e-07
5.845000	1.1188e-07
5.846000	1.057605e-07
5.847000	9.770861e-08
5.848000	8.611384e-08
5.849000	8.063853e-08
5.850000	7.162037e-08
5.851000	6.034767e-08
5.852000	5.390613e-08
5.853000	5.261782e-08
5.854000	5.358405e-08
5.855000	5.71269e-08
5.856000	1.257293e-07
5.857000	1.154229e-07
5.858000	1.067268e-07
5.859000	1.012515e-07
5.860000	1.012515e-07
5.861000	1.015735e-07
5.862000	9.64203e-08
5.863000	9.352161e-08
5.864000	9.191122e-08
5.865000	8.836838e-08
5.866000	8.257099e-08
5.867000	7.870606e-08
5.868000	7.741776e-08
5.869000	7.194244e-08
5.870000	7.000998e-08
5.871000	6.904375e-08
5.872000	6.807752e-08
5.873000	6.453467e-08
5.874000	5.841521e-08
5.875000	4.971912e-08
5.876000	4.327758e-08
5.877000	3.715812e-08
5.878000	2.975034e-08
5.879000	2.74958e-08
5.880000	2.62075e-08
5.881000	2.395296e-08
5.882000	2.169842e-08
5.883000	2.041011e-08
5.884000	1.976595e-08
5.885000	1.751141e-08
5.886000	1.396857e-08
5.887000	1.139195e-08
5.888000	1.300233e-08
5.889000	1.686726e-08
