***End_of_Header***
Time	Voltage
5.576000	-3.101521e-09
5.577000	-2.135289e-09
5.578000	-2.457366e-09
5.579000	-4.711906e-09
5.580000	-2.028267e-10
5.581000	4.413275e-10
5.582000	-2.028267e-10
5.583000	-2.135289e-09
5.584000	-2.135289e-09
5.585000	-6.644369e-09
5.586000	-1.169058e-09
5.587000	-5.033983e-09
5.588000	-2.779444e-09
5.589000	-1.169058e-09
5.590000	-8.469809e-10
5.591000	-6.000215e-09
5.592000	-6.322292e-09
5.593000	-4.389829e-09
5.594000	-6.322292e-09
5.595000	-5.033983e-09
5.596000	-4.711906e-09
5.597000	-2.779444e-09
5.598000	-4.067752e-09
5.599000	-1.813212e-09
5.600000	-4.389829e-09
5.601000	-6.966446e-09
5.602000	-2.135289e-09
5.603000	-5.35606e-09
5.604000	1.192504e-10
5.605000	1.085482e-09
5.606000	1.192504e-10
5.607000	-8.469809e-10
5.608000	-1.813212e-09
5.609000	-5.033983e-09
5.610000	-6.322292e-09
5.611000	-3.423598e-09
5.612000	-1.169058e-09
5.613000	-1.813212e-09
5.614000	-5.249038e-10
5.615000	-2.457366e-09
5.616000	-4.711906e-09
5.617000	-2.779444e-09
5.618000	-3.745675e-09
5.619000	-4.067752e-09
5.620000	2.37379e-09
5.621000	2.37379e-09
5.622000	7.634046e-10
5.623000	7.634046e-10
5.624000	-1.813212e-09
5.625000	-2.135289e-09
5.626000	4.424381e-08
5.627000	5.225283e-07
5.628000	3.811365e-07
5.629000	2.74851e-07
5.630000	2.175213e-07
5.631000	1.917551e-07
5.632000	1.795162e-07
5.633000	1.482747e-07
5.634000	1.186436e-07
5.635000	9.5132e-08
5.636000	8.418137e-08
5.637000	7.773983e-08
5.638000	4.392174e-08
5.639000	5.583859e-08
5.640000	6.260221e-08
5.641000	6.485675e-08
5.642000	1.614799e-07
5.643000	1.308826e-07
5.644000	1.234748e-07
5.645000	1.186436e-07
5.646000	1.163891e-07
5.647000	1.109138e-07
5.648000	1.105917e-07
5.649000	1.099475e-07
5.650000	1.006073e-07
5.651000	1.025398e-07
5.652000	9.803069e-08
5.653000	1.03506e-07
5.654000	1.031839e-07
5.655000	1.015735e-07
5.656000	9.770861e-08
5.657000	9.287746e-08
5.658000	8.80463e-08
5.659000	8.418137e-08
5.660000	7.645152e-08
5.661000	6.96879e-08
5.662000	6.646713e-08
5.663000	6.324636e-08
5.664000	5.583859e-08
5.665000	5.261782e-08
5.666000	4.521004e-08
5.667000	3.619189e-08
5.668000	3.651396e-08
5.669000	3.45815e-08
5.670000	2.813996e-08
5.671000	3.329319e-08
5.672000	3.361527e-08
5.673000	3.03945e-08
5.674000	2.846204e-08
5.675000	2.556334e-08
5.676000	1.91218e-08
5.677000	1.525687e-08
5.678000	1.49348e-08
5.679000	1.042572e-08
5.680000	1.49348e-08
5.681000	1.300233e-08
5.682000	7.204947e-09
5.683000	6.238715e-09
5.684000	3.340021e-09
5.685000	1.085482e-09
5.686000	4.306253e-09
5.687000	7.849101e-09
5.688000	7.204947e-09
5.689000	1.171403e-08
5.690000	6.238715e-09
5.691000	6.238715e-09
5.692000	9.137409e-09
5.693000	1.139195e-08
5.694000	1.300233e-08
5.695000	1.525687e-08
5.696000	1.139195e-08
5.697000	1.106987e-08
5.698000	1.171403e-08
5.699000	8.815332e-09
5.700000	1.106987e-08
5.701000	1.042572e-08
5.702000	1.042572e-08
5.703000	7.849101e-09
5.704000	4.62833e-09
5.705000	1.085482e-09
5.706000	4.62833e-09
5.707000	1.085482e-09
5.708000	-2.135289e-09
5.709000	-8.469809e-10
5.710000	-1.491135e-09
5.711000	-2.779444e-09
5.712000	-2.779444e-09
5.713000	-3.423598e-09
5.714000	-4.389829e-09
5.715000	-4.711906e-09
5.716000	-6.322292e-09
5.717000	-5.033983e-09
5.718000	-3.101521e-09
5.719000	-2.779444e-09
5.720000	-3.745675e-09
5.721000	-4.711906e-09
5.722000	-4.389829e-09
5.723000	-7.6106e-09
5.724000	-5.678137e-09
5.725000	-4.389829e-09
5.726000	-4.711906e-09
5.727000	-4.067752e-09
5.728000	-2.457366e-09
5.729000	-4.389829e-09
5.730000	-6.644369e-09
5.731000	-6.322292e-09
5.732000	-5.35606e-09
5.733000	-2.457366e-09
5.734000	-4.711906e-09
5.735000	-1.491135e-09
5.736000	-2.457366e-09
5.737000	-1.491135e-09
5.738000	-5.678137e-09
5.739000	-4.389829e-09
5.740000	-1.813212e-09
5.741000	-5.35606e-09
5.742000	1.085482e-09
5.743000	4.413275e-10
5.744000	-1.169058e-09
5.745000	2.37379e-09
5.746000	2.051713e-09
5.747000	-6.966446e-09
5.748000	-4.067752e-09
5.749000	7.634046e-10
5.750000	-2.135289e-09
5.751000	4.413275e-10
5.752000	-2.779444e-09
5.753000	-5.35606e-09
5.754000	-6.000215e-09
5.755000	-6.000215e-09
5.756000	-9.220986e-09
5.757000	-3.101521e-09
5.758000	-1.813212e-09
5.759000	-5.35606e-09
5.760000	-4.067752e-09
5.761000	-4.711906e-09
5.762000	-6.322292e-09
5.763000	-4.067752e-09
5.764000	-3.101521e-09
5.765000	-2.135289e-09
5.766000	-3.101521e-09
5.767000	-2.779444e-09
5.768000	-3.745675e-09
5.769000	-4.389829e-09
5.770000	-4.067752e-09
5.771000	-2.028267e-10
5.772000	7.634046e-10
5.773000	1.085482e-09
5.774000	1.192504e-10
5.775000	-8.469809e-10
5.776000	-3.101521e-09
5.777000	-6.322292e-09
5.778000	-8.254754e-09
5.779000	-5.033983e-09
5.780000	-6.322292e-09
5.781000	-3.745675e-09
5.782000	-4.389829e-09
5.783000	-4.389829e-09
5.784000	-9.220986e-09
5.785000	-6.000215e-09
5.786000	-4.711906e-09
5.787000	-5.35606e-09
5.788000	-3.423598e-09
5.789000	-3.101521e-09
5.790000	-5.678137e-09
5.791000	-6.644369e-09
5.792000	-7.932677e-09
5.793000	-5.678137e-09
5.794000	-5.678137e-09
5.795000	-6.644369e-09
5.796000	-5.678137e-09
5.797000	-5.033983e-09
5.798000	-5.678137e-09
5.799000	-3.745675e-09
5.800000	-5.35606e-09
