***End_of_Header***
Time	Voltage
3.959000	-1.481135e-09
3.960000	-2.125289e-09
3.961000	-2.769444e-09
3.962000	-1.1590580000000001e-09
3.963000	-2.447366e-09
3.964000	-2.769444e-09
3.965000	-4.057752e-09
3.966000	-3.4135979999999997e-09
3.967000	-4.379829e-09
3.968000	-2.769444e-09
3.969000	-4.379829e-09
3.970000	-3.091521e-09
3.971000	-5.3460600000000005e-09
3.972000	-4.379829e-09
3.973000	-4.057752e-09
3.974000	-3.735675e-09
3.975000	-4.057752e-09
3.976000	-7.6006e-09
3.977000	-3.735675e-09
3.978000	-3.091521e-09
3.979000	-3.091521e-09
3.980000	-6.634369e-09
3.981000	-2.125289e-09
3.982000	-3.4135979999999997e-09
3.983000	-1.803212e-09
3.984000	-3.091521e-09
3.985000	-4.379829e-09
3.986000	-7.278523e-09
3.987000	-2.447366e-09
3.988000	-2.447366e-09
3.989000	-3.735675e-09
3.990000	-3.4135979999999997e-09
3.991000	-4.701906e-09
3.992000	-5.023983e-09
3.993000	-3.4135979999999997e-09
3.994000	-3.735675e-09
3.995000	-3.091521e-09
3.996000	-3.091521e-09
3.997000	-3.735675e-09
3.998000	-4.379829e-09
3.999000	-3.4135979999999997e-09
4.000000	-2.447366e-09
4.001000	-1.481135e-09
4.002000	-1.803212e-09
4.003000	-2.769444e-09
4.004000	-1.481135e-09
4.005000	-1.803212e-09
4.006000	-1.481135e-09
4.007000	-1.803212e-09
4.008000	7.734046e-10
4.009000	1.49448e-08
4.010000	2.494169e-07
4.011000	2.2493910000000002e-07
4.012000	1.688977e-07
4.013000	1.405549e-07
4.014000	1.283159e-07
4.015000	1.192978e-07
4.016000	1.070588e-07
4.017000	9.385369e-08
4.018000	8.322514e-08
4.019000	6.96979e-08
4.020000	5.874728e-08
4.021000	4.8762889999999996e-08
4.022000	3.555773e-08
4.023000	1.848765e-08
4.024000	-6.956446e-09
4.025000	1.292504e-10
4.026000	2.5251260000000002e-08
4.027000	1.6503270000000002e-07
4.028000	1.3379120000000002e-07
4.029000	1.192978e-07
4.030000	1.147887e-07
4.031000	1.16077e-07
4.032000	1.135004e-07
4.033000	1.131783e-07
4.034000	1.122121e-07
4.035000	1.115679e-07
4.036000	1.080251e-07
4.037000	1.060926e-07
4.038000	1.025498e-07
4.039000	9.900692e-08
4.040000	9.385369e-08
4.041000	8.644591e-08
4.042000	8.161476e-08
4.043000	7.485114e-08
4.044000	6.583298e-08
4.045000	5.681482e-08
4.046000	5.101743e-08
4.047000	4.425381e-08
4.048000	3.684604e-08
4.049000	3.169281e-08
4.050000	2.782788e-08
4.051000	2.686165e-08
4.052000	2.396296e-08
4.053000	2.170842e-08
4.054000	2.1064260000000003e-08
4.055000	2.1386340000000003e-08
4.056000	2.1386340000000003e-08
4.057000	2.170842e-08
4.058000	1.719934e-08
4.059000	1.816557e-08
4.060000	2.1064260000000003e-08
4.061000	2.0098030000000002e-08
4.062000	1.91318e-08
4.063000	1.719934e-08
4.064000	1.430064e-08
4.065000	1.6233110000000002e-08
4.066000	1.719934e-08
4.067000	1.6877260000000003e-08
4.068000	1.6233110000000002e-08
4.069000	1.333441e-08
4.070000	1.043572e-08
4.071000	1.011364e-08
4.072000	9.147409e-09
4.073000	8.825332e-09
4.074000	6.89287e-09
4.075000	4.960407e-09
4.076000	5.282483999999999e-09
4.077000	4.63833e-09
4.078000	4.316253e-09
4.079000	4.316253e-09
4.080000	3.994176e-09
4.081000	2.061713e-09
4.082000	7.734046e-10
4.083000	-1.1590580000000001e-09
4.084000	-1.1590580000000001e-09
4.085000	-2.447366e-09
4.086000	-1.803212e-09
4.087000	-2.769444e-09
4.088000	-3.091521e-09
4.089000	-2.125289e-09
4.090000	-3.735675e-09
4.091000	-3.4135979999999997e-09
4.092000	-4.701906e-09
4.093000	-4.057752e-09
4.094000	-3.735675e-09
4.095000	-3.4135979999999997e-09
4.096000	-4.701906e-09
4.097000	-3.735675e-09
4.098000	-4.379829e-09
4.099000	-3.735675e-09
4.100000	-1.803212e-09
4.101000	-1.481135e-09
4.102000	-1.928267e-10
4.103000	-1.803212e-09
4.104000	-2.125289e-09
4.105000	-2.447366e-09
4.106000	-3.4135979999999997e-09
4.107000	-4.057752e-09
4.108000	-2.447366e-09
4.109000	-3.4135979999999997e-09
4.110000	-5.023983e-09
4.111000	-4.379829e-09
4.112000	-4.379829e-09
4.113000	-4.379829e-09
4.114000	-8.566831e-09
4.115000	-3.735675e-09
4.116000	-4.379829e-09
4.117000	-3.4135979999999997e-09
4.118000	-3.735675e-09
4.119000	-3.091521e-09
4.120000	-1.803212e-09
4.121000	-2.447366e-09
4.122000	-3.091521e-09
4.123000	-2.769444e-09
4.124000	-3.091521e-09
4.125000	-4.057752e-09
4.126000	-3.091521e-09
4.127000	-3.4135979999999997e-09
4.128000	-4.057752e-09
4.129000	-4.379829e-09
4.130000	-3.735675e-09
4.131000	-4.057752e-09
4.132000	-3.735675e-09
4.133000	-3.4135979999999997e-09
4.134000	-4.057752e-09
4.135000	-3.4135979999999997e-09
4.136000	-3.735675e-09
4.137000	-4.057752e-09
4.138000	-4.379829e-09
4.139000	-2.447366e-09
4.140000	-2.447366e-09
4.141000	-2.769444e-09
4.142000	-2.769444e-09
4.143000	-2.769444e-09
4.144000	-2.447366e-09
4.145000	-4.057752e-09
4.146000	-3.4135979999999997e-09
4.147000	-3.091521e-09
4.148000	-4.057752e-09
4.149000	-4.379829e-09
4.150000	-3.735675e-09
4.151000	-3.735675e-09
4.152000	-4.379829e-09
4.153000	-4.379829e-09
4.154000	-3.735675e-09
4.155000	-3.4135979999999997e-09
4.156000	-4.379829e-09
4.157000	-3.735675e-09
4.158000	-4.057752e-09
4.159000	-2.769444e-09
4.160000	-2.447366e-09
4.161000	-2.125289e-09
4.162000	-2.447366e-09
4.163000	-3.091521e-09
4.164000	-3.091521e-09
4.165000	-3.091521e-09
4.166000	-7.278523e-09
4.167000	-2.769444e-09
4.168000	-8.244754e-09
4.169000	-3.735675e-09
4.170000	-7.6006e-09
4.171000	-5.023983e-09
4.172000	-7.278523e-09
4.173000	-5.3460600000000005e-09
4.174000	-4.379829e-09
4.175000	-3.4135979999999997e-09
4.176000	-4.057752e-09
4.177000	-3.091521e-09
4.178000	-3.735675e-09
4.179000	-3.091521e-09
4.180000	-1.803212e-09
4.181000	-2.447366e-09
4.182000	-2.125289e-09
4.183000	-2.769444e-09
4.184000	-2.769444e-09
4.185000	-2.447366e-09
4.186000	-2.447366e-09
4.187000	-2.769444e-09
4.188000	-2.769444e-09
4.189000	-3.735675e-09
4.190000	-4.057752e-09
4.191000	-4.379829e-09
4.192000	-5.023983e-09
4.193000	-3.735675e-09
4.194000	-3.4135979999999997e-09
4.195000	-5.023983e-09
4.196000	-3.735675e-09
4.197000	-3.4135979999999997e-09
4.198000	-7.922677e-09
4.199000	-3.4135979999999997e-09
4.200000	-3.4135979999999997e-09
4.201000	-3.4135979999999997e-09
4.202000	-1.803212e-09
4.203000	-3.4135979999999997e-09
4.204000	-3.735675e-09
4.205000	-6.312292e-09
4.206000	-3.4135979999999997e-09
4.207000	-3.4135979999999997e-09
4.208000	-3.4135979999999997e-09
4.209000	-4.701906e-09
4.210000	-6.634369e-09
4.211000	-6.634369e-09
4.212000	-3.4135979999999997e-09
4.213000	-5.6681370000000005e-09
4.214000	-2.769444e-09
4.215000	-3.091521e-09
4.216000	-4.379829e-09
4.217000	-3.4135979999999997e-09
4.218000	-3.4135979999999997e-09
4.219000	-2.447366e-09
4.220000	-1.803212e-09
4.221000	-3.091521e-09
4.222000	-3.091521e-09
4.223000	-2.125289e-09
4.224000	-2.769444e-09
4.225000	-4.379829e-09
4.226000	-3.735675e-09
4.227000	-3.4135979999999997e-09
4.228000	-3.091521e-09
4.229000	-3.4135979999999997e-09
4.230000	-4.057752e-09
4.231000	-4.057752e-09
4.232000	-4.379829e-09
4.233000	-5.023983e-09
4.234000	-4.057752e-09
4.235000	-2.769444e-09
4.236000	-3.091521e-09
4.237000	-3.4135979999999997e-09
4.238000	-2.125289e-09
4.239000	-3.091521e-09
4.240000	-2.769444e-09
4.241000	-2.125289e-09
4.242000	-2.447366e-09
