***End_of_Header***
Time	Voltage
6.156000	-4.067752e-09
6.157000	-6.966446e-09
6.158000	-6.000215e-09
6.159000	-4.067752e-09
6.160000	-4.711906e-09
6.161000	-3.745675e-09
6.162000	-5.35606e-09
6.163000	-4.389829e-09
6.164000	-3.423598e-09
6.165000	-1.169058e-09
6.166000	-5.249038e-10
6.167000	-1.813212e-09
6.168000	-3.101521e-09
6.169000	-2.779444e-09
6.170000	-1.813212e-09
6.171000	-2.135289e-09
6.172000	-2.457366e-09
6.173000	-2.457366e-09
6.174000	-4.389829e-09
6.175000	-6.966446e-09
6.176000	-4.389829e-09
6.177000	-6.000215e-09
6.178000	-6.322292e-09
6.179000	-5.35606e-09
6.180000	-4.067752e-09
6.181000	-5.35606e-09
6.182000	-4.067752e-09
6.183000	-5.35606e-09
6.184000	-2.457366e-09
6.185000	-2.135289e-09
6.186000	-1.813212e-09
6.187000	-1.169058e-09
6.188000	-2.779444e-09
6.189000	-5.678137e-09
6.190000	-2.135289e-09
6.191000	-1.491135e-09
6.192000	-4.389829e-09
6.193000	-4.389829e-09
6.194000	-5.033983e-09
6.195000	-4.711906e-09
6.196000	-6.644369e-09
6.197000	-5.678137e-09
6.198000	-4.389829e-09
6.199000	-4.389829e-09
6.200000	-3.423598e-09
6.201000	-4.389829e-09
6.202000	-2.135289e-09
6.203000	-2.457366e-09
6.204000	7.634046e-10
6.205000	3.662099e-09
6.206000	3.115678e-07
6.207000	3.431314e-07
6.208000	2.642225e-07
6.209000	2.200979e-07
6.210000	1.969084e-07
6.211000	1.843474e-07
6.212000	1.647007e-07
6.213000	1.405449e-07
6.214000	9.480992e-08
6.215000	6.646713e-08
6.216000	6.034767e-08
6.217000	4.327758e-08
6.218000	2.524126e-08
6.219000	8.171178e-09
6.220000	1.332441e-08
6.221000	2.878411e-08
6.222000	1.279839e-07
6.223000	1.273397e-07
6.224000	1.263735e-07
6.225000	1.257293e-07
6.226000	1.234748e-07
6.227000	1.212202e-07
6.228000	1.212202e-07
6.229000	1.208982e-07
6.230000	1.263735e-07
6.231000	1.305605e-07
6.232000	1.312046e-07
6.233000	1.318488e-07
6.234000	1.270176e-07
6.235000	1.205761e-07
6.236000	1.163891e-07
6.237000	1.083372e-07
6.238000	1.022177e-07
6.239000	9.899692e-08
6.240000	9.416576e-08
6.241000	8.579176e-08
6.242000	7.999437e-08
6.243000	7.709568e-08
6.244000	6.83996e-08
6.245000	5.358405e-08
6.246000	4.778666e-08
6.247000	4.907497e-08
6.248000	4.456589e-08
6.249000	3.619189e-08
6.250000	2.942827e-08
6.251000	2.556334e-08
6.252000	1.91218e-08
6.253000	1.686726e-08
6.254000	1.461272e-08
6.255000	2.008803e-08
6.256000	2.427503e-08
6.257000	2.363088e-08
6.258000	2.008803e-08
6.259000	2.008803e-08
6.260000	1.879972e-08
