***End_of_Header***
Time	Voltage
27.092000	-1.491135e-09
27.093000	-2.457366e-09
27.094000	-1.169058e-09
27.095000	-1.813212e-09
27.096000	-3.101521e-09
27.097000	-2.457366e-09
27.098000	-3.101521e-09
27.099000	-4.067752e-09
27.100000	-3.745675e-09
27.101000	-4.067752e-09
27.102000	-4.711906e-09
27.103000	-5.35606e-09
27.104000	-3.745675e-09
27.105000	-4.067752e-09
27.106000	-3.423598e-09
27.107000	-4.711906e-09
27.108000	-3.423598e-09
27.109000	-3.101521e-09
27.110000	-2.457366e-09
27.111000	-2.779444e-09
27.112000	-2.457366e-09
27.113000	-1.491135e-09
27.114000	-1.491135e-09
27.115000	-3.745675e-09
27.116000	-2.457366e-09
27.117000	-1.813212e-09
27.118000	-3.101521e-09
27.119000	-4.067752e-09
27.120000	-3.423598e-09
27.121000	-3.745675e-09
27.122000	-5.678137e-09
27.123000	-4.067752e-09
27.124000	-4.711906e-09
27.125000	-3.423598e-09
27.126000	-2.457366e-09
27.127000	-3.101521e-09
27.128000	-4.067752e-09
27.129000	-2.779444e-09
27.130000	-1.813212e-09
27.131000	-4.389829e-09
27.132000	-2.457366e-09
27.133000	-5.249038e-10
27.134000	4.413275e-10
27.135000	-2.135289e-09
27.136000	-2.779444e-09
27.137000	-2.779444e-09
27.138000	-3.101521e-09
27.139000	-3.423598e-09
27.140000	-3.745675e-09
27.141000	-3.745675e-09
27.142000	6.163598e-08
27.143000	4.971912e-08
27.144000	4.295551e-08
27.145000	3.844643e-08
27.146000	3.136073e-08
27.147000	2.62075e-08
27.148000	1.944388e-08
27.149000	1.815557e-08
27.150000	1.815557e-08
27.151000	1.396857e-08
27.152000	8.493255e-09
27.153000	6.560792e-09
27.154000	5.594561e-09
27.155000	4.306253e-09
27.156000	3.984176e-09
27.157000	1.729636e-09
27.158000	3.984176e-09
27.159000	-8.469809e-10
27.160000	3.340021e-09
27.161000	2.695867e-09
27.162000	1.139195e-08
27.163000	1.718934e-08
27.164000	2.105426e-08
27.165000	2.395296e-08
27.166000	2.781788e-08
27.167000	3.103865e-08
27.168000	3.007242e-08
27.169000	3.200488e-08
27.170000	3.200488e-08
27.171000	2.975034e-08
27.172000	3.007242e-08
27.173000	3.071658e-08
27.174000	2.878411e-08
27.175000	2.524126e-08
27.176000	2.008803e-08
27.177000	1.235818e-08
27.178000	6.88287e-09
27.179000	3.984176e-09
27.180000	2.37379e-09
27.181000	7.634046e-10
27.182000	-8.469809e-10
27.183000	-8.469809e-10
27.184000	-5.033983e-09
27.185000	-1.813212e-09
27.186000	-1.813212e-09
27.187000	-1.169058e-09
27.188000	-2.135289e-09
27.189000	-2.028267e-10
27.190000	-5.249038e-10
27.191000	-2.028267e-10
27.192000	1.085482e-09
27.193000	1.407559e-09
27.194000	1.729636e-09
27.195000	-8.469809e-10
27.196000	-5.249038e-10
27.197000	1.192504e-10
27.198000	-8.469809e-10
27.199000	-1.491135e-09
27.200000	1.192504e-10
27.201000	-2.028267e-10
27.202000	1.085482e-09
27.203000	4.413275e-10
27.204000	2.846204e-08
27.205000	1.364649e-08
27.206000	7.849101e-09
27.207000	5.594561e-09
27.208000	3.984176e-09
27.209000	3.984176e-09
27.210000	4.306253e-09
27.211000	4.306253e-09
27.212000	4.306253e-09
27.213000	3.984176e-09
27.214000	5.594561e-09
27.215000	3.340021e-09
27.216000	2.051713e-09
27.217000	2.695867e-09
