***End_of_Header***
Time	Voltage
5.121000	1.010364e-09
5.122000	7.527024e-10
5.123000	5.272484e-10
5.124000	2.051713e-10
5.125000	-6.322292e-10
5.126000	-9.86514e-10
5.127000	-1.373007e-09
5.128000	-2.113784e-09
5.129000	-1.984953e-09
5.130000	-1.856122e-09
5.131000	-1.662876e-09
5.132000	-1.566253e-09
5.133000	-1.727291e-09
5.134000	-1.050929e-09
5.135000	-3.745675e-10
5.136000	2.37379e-10
5.137000	8.493255e-10
5.138000	1.300233e-09
5.139000	1.171403e-09
5.140000	1.20361e-09
5.141000	1.106987e-09
5.142000	8.171178e-10
5.143000	5.594561e-10
5.144000	4.306253e-10
5.145000	-3.745675e-10
5.146000	-9.86514e-10
5.147000	-1.373007e-09
5.148000	-2.113784e-09
5.149000	-2.081576e-09
5.150000	-1.630668e-09
5.151000	-1.534045e-09
5.152000	-1.501837e-09
5.153000	-1.17976e-09
5.154000	-9.220986e-10
5.155000	-1.813212e-10
5.156000	2.051713e-10
5.157000	6.88287e-10
5.158000	1.49348e-09
5.159000	1.171403e-09
5.160000	1.010364e-09
5.161000	5.594561e-10
5.162000	8.171178e-10
5.163000	3.662099e-10
5.164000	2.051713e-10
5.165000	-4.389829e-10
5.166000	-8.254754e-10
5.167000	-1.244176e-09
5.168000	-2.113784e-09
5.169000	-1.566253e-09
5.170000	-1.083137e-09
5.171000	2.365238e-08
5.172000	2.887003e-08
5.173000	2.903107e-08
5.174000	2.713082e-08
5.175000	2.532719e-08
5.176000	2.262174e-08
5.177000	1.988408e-08
5.178000	1.820928e-08
5.179000	1.634123e-08
5.180000	1.366799e-08
5.181000	1.183215e-08
5.182000	1.054385e-08
5.183000	9.64203e-09
5.184000	9.609823e-09
5.185000	9.416576e-09
5.186000	9.545407e-09
5.187000	9.22333e-09
5.188000	8.514761e-09
5.189000	1.057605e-08
5.190000	1.37002e-08
5.191000	1.627682e-08
5.192000	1.866019e-08
5.193000	2.062486e-08
5.194000	2.171992e-08
5.195000	2.297602e-08
5.196000	2.355576e-08
5.197000	2.368459e-08
5.198000	2.342693e-08
5.199000	2.239628e-08
5.200000	2.114018e-08
5.201000	2.052824e-08
5.202000	1.956201e-08
5.203000	1.817707e-08
5.204000	1.614799e-08
5.205000	1.357137e-08
5.206000	1.141345e-08
5.207000	9.094499e-09
5.208000	7.033206e-09
5.209000	5.809313e-09
5.210000	4.875289e-09
5.211000	3.941266e-09
5.212000	3.683604e-09
5.213000	3.683604e-09
5.214000	3.361527e-09
5.215000	4.198927e-09
5.216000	4.521004e-09
5.217000	4.746458e-09
5.218000	5.261782e-09
5.219000	5.326197e-09
5.220000	5.551651e-09
5.221000	6.614506e-09
5.222000	7.419698e-09
5.223000	7.902814e-09
5.224000	8.289307e-09
5.225000	7.226452e-09
5.226000	6.936583e-09
5.227000	5.970351e-09
5.228000	4.521004e-09
5.229000	3.361527e-09
5.230000	2.395296e-09
5.231000	1.332441e-09
5.232000	5.272484e-10
5.233000	2.37379e-10
5.234000	-8.469809e-11
5.235000	2.051713e-10
5.236000	5.272484e-10
5.237000	3.662099e-10
